Depth [L],t = 0.02,t = 0.05,t = 0.72,t = 1.03
40.67,532.1499999291512,532.1499995816608,532.1499654127022,532.1499461340696
41.67,473.08654988216233,396.5522318367097,7.703169990420126,1.2437190029619836
42.67,473.0865498481003,396.5522316470621,7.703165072203855,1.243713769254128
43.67,473.08654981660766,396.55223149119143,7.703164821868686,1.2437137063077284
44.67,420.57857126777157,295.50629453918015,0.11150763914276966,0.002906756706795018
45.67,420.5785712374898,295.5062943978568,0.11150756794887172,0.002906744474840143
46.67,420.57857123771674,295.5062944003308,0.1115075711727553,0.002906744791734986
47.67,421.15642049704024,298.02052955802174,0.3744091036399925,0.02401013877624865
48.67,519.0531640031743,467.8265373777258,2.0905576250551334,0.14997724217901964
49.67,531.0961191610314,519.6791930470789,7.595692564742585,0.6569374716862187
50.67,532.0857333441614,530.2882147324542,21.425930790766742,2.5562668890271865
51.67,532.1484732387574,532.0375132027111,108.43725468432324,24.504804546698374
52.67,532.1499194470067,532.1413975532619,177.8141006013446,27.488316237607425
53.67,532.1470052878195,532.0214008779993,47.905244117327975,2.389825500091646
54.67,532.1009337398284,531.2720808236256,10.589470945546248,0.19233488471759963
55.67,531.7044357915631,528.6588346936992,2.0792190629320677,0.014958811978056243
56.67,529.7282875768503,523.2016715750403,0.38744907247086224,0.001165302516840819
57.67,524.0718429690962,516.4124797580963,0.07496922900275065,9.981550164806486e-05
58.67,515.3725452427481,511.82493864336556,0.017322003863822107,1.2471474142713686e-05
59.67,509.38253059691647,510.5194533469813,0.00547606972578163,3.190908276113674e-06
60.67,510.0316889013151,509.55182112865805,0.0023655932703854437,1.38882723023501e-06
61.67,513.8504242063641,506.0105663727372,0.0012523536310224321,7.515304275455142e-07
62.67,511.9709723788802,499.80028537274046,0.000743628366688886,4.5003481050964754e-07
63.67,508.0133475642613,492.04142093364135,0.0004740124839852206,2.87674996659717e-07
64.67,503.6860230128445,483.53700921611846,0.0003177384869568682,1.9254687261627568e-07
65.67,496.5165735052272,475.0274865592265,0.0002214524195507164,1.3490103369852775e-07
66.67,487.119658375047,466.6708577910088,0.00015930463675960048,9.618851825201978e-08
67.67,479.6175026462257,458.01582228114563,0.00011766003717100851,7.189578970942252e-08
68.67,474.41705234068996,448.9755482198834,8.886735465109736e-05,5.3624644874239114e-08
69.67,469.5415889257309,440.47309180757713,6.842467133547471e-05,4.172209813940834e-08
70.67,462.40218087922983,434.18533804905667,5.3573707379651366e-05,3.244858086458993e-08
71.67,452.48266099795654,431.76607037028384,4.1958916889775835e-05,2.5501628803729665e-08
72.67,441.4367382956531,435.29752507548443,3.2863010660170196e-05,1.9941920739005656e-08
73.67,430.34493375216596,445.7242007971687,2.573897637889382e-05,1.562925022372338e-08
74.67,419.5465920331586,461.2939868836674,2.015929482572427e-05,1.223799778315086e-08
75.67,413.30630795984587,476.33361005130485,1.578917448948695e-05,9.585954242414762e-09
76.67,420.4996470858469,481.68027047868793,1.2366407052896764e-05,7.507675539821288e-09
77.67,446.7226179068347,467.4892549226875,9.685625231055874e-06,5.880227812217654e-09
78.67,487.1964724076167,427.62386463586995,7.585981720547679e-06,4.60550148412284e-09
79.67,528.0956448137583,363.43054457359807,5.941497616265071e-06,3.6071271943348704e-09
80.67,545.0609597211767,284.3538287715779,4.653503719363152e-06,2.8251759291682664e-09
81.67,510.9825848860607,204.28516850586058,3.6447202956350096e-06,2.212736317785285e-09
82.67,421.0382203929213,135.53154647749054,2.854620274519703e-06,1.733060809476957e-09
83.67,356.3173579404719,98.95459431544074,2.629521979751016e-06,1.5964019978589708e-09
84.67,253.21127669331867,64.73927171467685,2.411783961957552e-06,1.4642116593197453e-09
85.67,127.5110178682776,35.49387973749431,2.154414513661951e-06,1.3079607889768654e-09
86.67,53.92076179123661,27.32183117739948,3.117982620124976e-06,1.8929500265286763e-09
