Depth [L],Flow [L^3 T^-1],Upper depth bound [L],Lower depth bound [L]
18.75,0,,
18.75,0,,
21.25,0.0798007,,
21.25,0,,
23.75,0.0582995,,
23.75,0,,
26.25,0.0445099,,
26.25,0,,
28.75,0.03262398,,
28.75,0,,
31.25,0.02153495,,
31.25,0,,
33.75,0.01080735,,
33.75,0,,
36.25,2.765407,,
36.25,0,,
38.75,0.00473731,,
38.75,0,,
41.25,0.002615377,,
41.25,-0.000397455,,
43.75,0.000894428,,
43.75,-0.001124333,,
46.25,0.000284955,,
46.25,-0.002952725,,
48.75,0,,
48.75,-0.005157176,,
51.25,0,,
51.25,-2.962806,,
53.75,0,,
53.75,-0.006046508,,
56.25,0,,
56.25,-0.006302022,,
58.75,0,,
58.75,-0.006568128,,
61.25,0,,
61.25,-0.006862819,,
63.75,0,,
63.75,-0.007221153,,
66.25,0,,
66.25,-0.00774245,,
68.75,0,,
68.75,-0.00898376,,
71.25,0,,
71.25,0,,
