Z1,C1,Z2,C2,Z3,C3,Z4,C4,Z5,C5,Z6,C6,Z7,C7,Z8,C8
21.25,491.4597311,21.25,420.8939194,21.25,325.1350018,21.25,211.5440034,21.25,137.6924645,21.25,89.64832033,21.25,38.02267596,21.25,2.906201013
23.75,493.2368401,23.75,435.2015616,23.75,350.1417696,23.75,239.3346791,23.75,161.1036,23.75,107.3550678,23.75,46.80784555,23.75,3.665622648
26.25,494.2926664,26.25,444.5121986,26.25,368.4598154,26.25,262.6767914,26.25,182.6259623,26.25,124.6704705,26.25,56.05577246,26.25,4.520213059
28.75,495.1735277,28.75,452.3677073,28.75,384.484493,28.75,284.5984419,28.75,204.1509363,28.75,142.8761285,28.75,66.45431994,28.75,5.549657194
31.25,495.968166,31.25,459.5741804,31.25,399.5845774,31.25,306.2934942,31.25,226.5268996,31.25,162.6435526,31.25,78.49912643,31.25,6.834579647
33.75,496.7002011,33.75,465.6403139,33.75,412.0860116,33.75,325.4576022,33.75,247.680239,33.75,182.3948716,33.75,91.51465251,33.75,8.35429304
36.25,472.4405723,36.25,320.9239908,36.25,233.0578714,36.25,176.4108663,36.25,135.4662677,36.25,100.9781984,36.25,51.67135988,36.25,4.83410003
38.75,496.3319819,38.75,419.26259,38.75,293.3808621,38.75,194.8341805,38.75,146.1773817,38.75,110.0311933,38.75,57.92310238,38.75,5.643458826
41.25,497.721371,41.25,462.7520878,41.25,360.1735007,41.25,227.6440222,41.25,161.7225909,41.25,120.8278421,41.25,65.10741479,41.25,6.639165455
43.75,498.0180206,43.75,476.7427869,43.75,409.5043111,43.75,271.7911998,43.75,184.5100365,43.75,134.3156893,43.75,73.16963598,43.75,7.84463693
46.25,498.1605555,46.25,480.8566698,46.25,437.359198,46.25,318.3722045,46.25,215.3287861,46.25,151.9793636,46.25,82.20692842,46.25,9.293072489
48.75,498.2841816,48.75,482.0695869,48.75,449.4466917,48.75,357.0909773,48.75,250.8617475,48.75,174.2517332,48.75,92.1465428,48.75,10.97218191
51.25,484.3683295,51.25,395.5218133,51.25,338.0366423,51.25,276.0407154,51.25,202.044698,51.25,140.6811638,51.25,72.91005114,51.25,8.995186098
53.75,498.0985845,53.75,464.9924298,53.75,399.7846421,53.75,319.0653577,53.75,248.9124287,53.75,183.3005722,53.75,94.75214297,53.75,12.51489983
56.25,498.487996,56.25,482.4178255,56.25,442.5966101,56.25,366.2864179,56.25,295.9902853,56.25,230.2486667,56.25,126.2210515,56.25,17.69892168
58.75,498.5811887,58.75,485.6281214,58.75,460.2986347,58.75,404.2357202,58.75,341.3144746,58.75,278.7190206,58.75,167.6011306,58.75,25.78657252
61.25,498.6707758,61.25,486.7349967,61.25,466.3362346,61.25,426.4340731,61.25,377.7243621,61.25,324.0471124,61.25,216.6496824,61.25,39.44823062
63.75,498.7680554,63.75,487.7143757,63.75,469.3582571,63.75,437.5612044,63.75,401.4829439,63.75,360.2223095,63.75,268.221662,63.75,64.06990588
66.25,498.8858399,66.25,488.8817078,66.25,472.3007399,66.25,444.7207414,66.25,416.233591,66.25,385.4934291,66.25,315.3896879,66.25,108.804643
68.75,499.0963299,68.75,490.9503298,68.75,477.3333074,68.75,454.5677142,68.75,431.6565865,68.75,408.3004252,68.75,358.5497587,68.75,188.3625793
